2a03:2880:2130:cf05:face:b00c::1			attachments.facebook.com
2607:f8b0:400a:805::1008			v11.nonxt4.c.youtube.com
2607:f8b0:400a:805::1008			v11.nonxt5.c.youtube.com
2404:6800:4006:804::100e			v16.nonxt3.c.youtube.com
2a00:1450:4001:80d::1001			v16.nonxt4.c.youtube.com
2607:f8b0:400a:801::1002			v16.nonxt5.c.youtube.com
2607:f8b0:4009:800::1003			v16.nonxt6.c.youtube.com
2a00:1450:4017:801::1007			v16.nonxt8.c.youtube.com
2607:f8b0:4004:800::100e			v16.nonxt7.c.youtube.com
2a00:1450:4013:c00::8b			v17.nonxt1.c.youtube.com
2607:f8b0:400a:801::1002			v17.nonxt2.c.youtube.com
2607:f8b0:400a:805::1001			v17.nonxt3.c.youtube.com
2a00:1450:4013:c01::8b			v17.nonxt4.c.youtube.com
2607:f8b0:400b:80b::1005			v17.nonxt6.c.youtube.com
2607:f8b0:400b:80b::1009			v17.nonxt5.c.youtube.com
2607:f8b0:400a:805::1008			v17.nonxt7.c.youtube.com
2a00:1450:4009:804::1007			v17.nonxt8.c.youtube.com
2607:f8b0:400a:801::1002			v18.nonxt1.c.youtube.com
2404:6800:4006:804::1001			v18.nonxt2.c.youtube.com
2607:f8b0:4009:800::1001			v22.nonxt8.c.youtube.com
2a00:1450:4001:80d::1001			v23.nonxt1.c.youtube.com
2a00:1450:4013:c01::66			v23.nonxt2.c.youtube.com
2a00:1450:4002:801::1008			v23.nonxt3.c.youtube.com
2a00:1450:4002:802::1004			v23.nonxt4.c.youtube.com
2a00:1450:4009:804::1006			v23.nonxt5.c.youtube.com
2a00:1450:4002:802::1004			v23.nonxt6.c.youtube.com
2607:f8b0:400a:801::1009			v23.nonxt7.c.youtube.com
2404:6800:4006:804::1001			v23.nonxt8.c.youtube.com
2a00:1450:4002:803::1008			v24.nonxt1.c.youtube.com
2607:f8b0:400b:80b::1009			v24.nonxt2.c.youtube.com
2607:f8b0:400a:805::1008			v24.nonxt3.c.youtube.com
2607:f8b0:400c:c03::8a			v24.nonxt4.c.youtube.com
2607:f8b0:400a:801::1002			v24.nonxt5.c.youtube.com
2404:6800:4006:804::1001			v24.nonxt6.c.youtube.com
2a00:1450:400e:402::14			v5.cache5.c.youtube.com
2a00:1450:400e:406::14			v5.cache6.c.youtube.com
2a00:1450:400e:403::14			v5.cache7.c.youtube.com
2a00:1450:400e:407::14			v5.cache8.c.youtube.com
2a00:1450:400e:400::15			v6.cache1.c.youtube.com
2a00:1450:400e:404::15			v6.cache2.c.youtube.com
2a00:1450:400e:401::15			v6.cache3.c.youtube.com
2a00:1450:400e:405::15			v6.cache4.c.youtube.com
